ID,NombreProducto,Descripcion,PrecioOriginal,PrecioFinal,URL_Imagen,Categoria,Visible,Variantes
1,hola,"Una nave espacial funciona usando cohetes para el lanzamiento, sistemas de propulsión y navegación para moverse en el espacio, y sistemas de energía como paneles solares para operar. Se lanza fuera de la atmósfera terrestre para llegar a una órbita y se desplaza aplicando el principio de acción y reacción, utilizando pequeños propulsores para corregir su trayectoria y mantenerse en la dirección correctaEscape de la gravedad: Para que una nave escape de la gravedad terrestre, necesita alcanzar la ""velocidad de escape"", que es de aproximadamente 40,300 km/h (25,000 mph).",40000,36000,https://smartjoys.co/wp-content/uploads/2023/01/image00003.jpeg,carros,SI,"Rojo,Azul,Verde,Negro"
2,Parlante JBL Bluetooth Recargable,Elegante y potente parlante JBL FLIP 6. A prueba de agua 💧 Duración de batería muy larga. Sonido envolvente,90000,75000,https://www.jbl.com.co/dw/image/v2/BFND_PRD/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw8fd18007/JBL_CHARGE5_HERO_BLACK_0046_x1.png?sw=535&sh=535,Audio y Tecnología,SI
3,Reloj Apple Watch Ultra 2 (Réplica 1:1),Mejor réplica del Apple Watch Ultra 2. Enciende con logo de Apple 🍎 Compatible con todos los iPhones,,130000,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTx3TAq7NWnsZ97Qn9-F9MlE59Cubg-l8GAOUrONmOchxgphAosKu6p5iMIql_uWL1f1vO5WkdDgKQ14f7rFE8ArJJvMWigQ13Fg-Ga4J_wOOR5S0IPMa7eDw,Audio y Tecnología,SI
4,Proteína Whey Gold Standard,Proteína de suero de leche de alta calidad. Ideal para ganar masa muscular. Sabor chocolate delicioso,180000,150000,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02957/l/53.jpg",Salud y Suplementos,SI
5,Multivitamínico Complete Daily,"Complejo vitamínico completo para el día a día. Contiene vitaminas A, B, C, D, E y minerales esenciales",,85000,💊,Salud y Suplementos,SI
6,Creatina Monohidrato Premium,Creatina pura monohidrato para mejorar rendimiento físico. Aumenta fuerza y resistencia en el entrenamiento,120000,95000,⚡,Salud y Suplementos,SI
7,Freidora de Aire 4.5L,Freidora de aire de 4.5 litros. Cocina saludable sin aceite. Temperatura ajustable y timer digital,350000,280000,🍳,Hogar y Cocina,SI
8,Licuadora Multifuncional,"Licuadora de alta potencia 1200W. Múltiples velocidades. Perfecta para smoothies, jugos y salsas",,180000,🥤,Hogar y Cocina,SI
9,Set de Ollas Antiadherentes,Juego de 5 ollas antiadherentes con tapas. Recubrimiento cerámico. Apto para todas las estufas,250000,200000,🍲,Hogar y Cocina,SI
10,Kit de Skincare Completo,"Kit completo para cuidado facial. Incluye limpiador, tónico, serum y humectante. Para todo tipo de piel",120000,89000,✨,Belleza y Cuidado Personal,SI
11,Plancha de Cabello Profesional,Plancha de cabello con tecnología cerámica. Temperatura ajustable. Alisa y da brillo natural al cabello,,95000,💇‍♀️,Belleza y Cuidado Personal,SI
12,Set de Maquillaje Profesional,"Kit completo de maquillaje con paleta de sombras, bases, labiales y brochas. Calidad profesional",200000,150000,💄,Belleza y Cuidado Personal,SI
13,Control Xbox Inalámbrico,Control inalámbrico compatible con Xbox y PC. Conexión Bluetooth. Batería de larga duración,180000,145000,🎮,Gaming y Entretenimiento,SI
14,Teclado Mecánico RGB Gaming,Teclado mecánico para gaming con iluminación RGB. Switches mecánicos de alta calidad. Anti-ghosting,,220000,⌨️,Gaming y Entretenimiento,SI
15,Mouse Gaming Profesional,Mouse gaming de alta precisión. DPI ajustable hasta 16000. Diseño ergonómico con iluminación LED,120000,85000,🖱️,Gaming y Entretenimiento,SI
16,Mancuernas Ajustables 20kg,Par de mancuernas ajustables de 5kg a 20kg cada una. Perfectas para ejercicio en casa. Fácil ajuste,280000,220000,🏋️‍♂️,Deportes y Fitness,SI
17,Banda Elástica Set Completo,Set de 5 bandas elásticas de diferentes resistencias. Incluye anclas y manijas. Ideal para ejercicio,66000,65000,🏃‍♀️,Deportes y Fitness,SI
18,Esterilla de Yoga Premium,Esterilla antideslizante para yoga y pilates. Material eco-friendly. Grosor de 6mm para mayor comodidad,80000,55000,🧘‍♀️,Deportes y Fitness,SI
19,cucallo,DescripcioN,50000,30000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5g2qsvX5-PtG4HQdCz35jEyAt63a0Gm9Yag&s,comida,SI
